fpr,tpr,type
0.036885246,0.602459016,normal
0.036885246,0.610655738,normal
0.036885246,0.614754098,normal
0.036885246,0.62295082,normal
0.040983607,0.62295082,normal
0.040983607,0.62704918,normal
0.045081967,0.62704918,normal
0.045081967,0.631147541,normal
0.049180328,0.639344262,normal
0.049180328,0.647540984,normal
0.049180328,0.651639344,normal
0.049180328,0.659836066,normal
0.053278689,0.659836066,normal
0.053278689,0.663934426,normal
0.057377049,0.668032787,normal
0.057377049,0.680327869,normal
0.057377049,0.696721311,normal
0.06557377,0.700819672,normal
0.073770492,0.700819672,normal
0.073770492,0.717213115,normal
0.073770492,0.721311475,normal
0.077868852,0.725409836,normal
0.077868852,0.729508197,normal
0.081967213,0.729508197,normal
0.081967213,0.733606557,normal
0.086065574,0.733606557,normal
0.090163934,0.745901639,normal
0.094262295,0.745901639,normal
0.094262295,0.75,normal
0.098360656,0.75,normal
0.098360656,0.758196721,normal
0.098360656,0.778688525,normal
0.102459016,0.782786885,normal
0.106557377,0.782786885,normal
0.118852459,0.786885246,normal
0.12295082,0.786885246,normal
0.131147541,0.795081967,normal
0.135245902,0.795081967,normal
0.135245902,0.799180328,normal
0.143442623,0.799180328,normal
0.143442623,0.803278689,normal
0.147540984,0.803278689,normal
0.151639344,0.81147541,normal
0.159836066,0.81147541,normal
0.163934426,0.823770492,normal
0.168032787,0.823770492,normal
0.172131148,0.827868852,normal
0.172131148,0.844262295,normal
0.176229508,0.844262295,normal
0.176229508,0.852459016,normal
0.18852459,0.852459016,normal
0.196721311,0.852459016,normal
0.196721311,0.864754098,normal
0.200819672,0.864754098,normal
0.204918033,0.868852459,normal
0.209016393,0.868852459,normal
0.209016393,0.87295082,normal
0.217213115,0.87295082,normal
0.217213115,0.885245902,normal
0.225409836,0.885245902,normal
0.225409836,0.897540984,normal
0.229508197,0.897540984,normal
0.233606557,0.901639344,normal
0.237704918,0.901639344,normal
0.237704918,0.905737705,normal
0.241803279,0.913934426,normal
0.245901639,0.913934426,normal
0.245901639,0.918032787,normal
0.254098361,0.918032787,normal
0.262295082,0.918032787,normal
0.262295082,0.922131148,normal
0.266393443,0.922131148,normal
0.266393443,0.930327869,normal
0.266393443,0.93442623,normal
0.270491803,0.93442623,normal
0.270491803,0.93852459,normal
0.282786885,0.93852459,normal
0.282786885,0.946721311,normal
0.286885246,0.946721311,normal
0.295081967,0.946721311,normal
0.299180328,0.950819672,normal
0.303278689,0.950819672,normal
0.307377049,0.954918033,normal
0.319672131,0.954918033,normal
0.327868852,0.954918033,normal
0.344262295,0.954918033,normal
0.344262295,0.959016393,normal
0.348360656,0.959016393,normal
0.348360656,0.963114754,normal
0.352459016,0.963114754,normal
0.352459016,0.971311475,normal
0.360655738,0.971311475,normal
0.37295082,0.971311475,normal
0.381147541,0.971311475,normal
0.393442623,0.971311475,normal
0.397540984,0.971311475,normal
0.397540984,0.975409836,normal
0.401639344,0.975409836,normal
0.409836066,0.975409836,normal
0.422131148,0.975409836,normal
0.426229508,0.975409836,normal
0.450819672,0.975409836,normal
0.475409836,0.979508197,normal
0.479508197,0.979508197,normal
0.495901639,0.979508197,normal
0.5,0.979508197,normal
0.5,0.983606557,normal
0.516393443,0.983606557,normal
0.524590164,0.983606557,normal
0.540983607,0.983606557,normal
0.549180328,0.983606557,normal
0.56557377,0.983606557,normal
0.573770492,0.983606557,normal
0.581967213,0.983606557,normal
0.586065574,0.987704918,normal
0.614754098,0.987704918,normal
0.62704918,0.987704918,normal
0.631147541,0.987704918,normal
0.639344262,0.987704918,normal
0.68852459,0.987704918,normal
0.704918033,0.987704918,normal
0.709016393,0.987704918,normal
0.717213115,0.987704918,normal
0.725409836,0.987704918,normal
0.725409836,0.995901639,normal
0.733606557,0.995901639,normal
0.741803279,0.995901639,normal
0.754098361,0.995901639,normal
0.766393443,0.995901639,normal
0.786885246,0.995901639,normal
0.795081967,0.995901639,normal
0.81147541,0.995901639,normal
0.819672131,0.995901639,normal
0.827868852,0.995901639,normal
0.836065574,0.995901639,normal
0.840163934,0.995901639,normal
0.852459016,0.995901639,normal
0.868852459,0.995901639,normal
0.87295082,0.995901639,normal
0.881147541,0.995901639,normal
0.889344262,0.995901639,normal
0.889344262,1,normal
1,1,normal
0,0,copy-paste
0.004098361,0,copy-paste
0.004098361,0.020491803,copy-paste
0.008196721,0.020491803,copy-paste
0.008196721,0.024590164,copy-paste
0.016393443,0.024590164,copy-paste
0.016393443,0.040983607,copy-paste
0.024590164,0.040983607,copy-paste
0.024590164,0.053278689,copy-paste
0.036885246,0.053278689,copy-paste
0.036885246,0.06557377,copy-paste
0.045081967,0.06557377,copy-paste
0.045081967,0.069672131,copy-paste
0.049180328,0.069672131,copy-paste
0.049180328,0.073770492,copy-paste
0.053278689,0.073770492,copy-paste
0.053278689,0.081967213,copy-paste
0.053278689,0.086065574,copy-paste
0.057377049,0.086065574,copy-paste
0.057377049,0.090163934,copy-paste
0.057377049,0.102459016,copy-paste
0.057377049,0.114754098,copy-paste
0.06557377,0.118852459,copy-paste
0.069672131,0.131147541,copy-paste
0.077868852,0.131147541,copy-paste
0.077868852,0.135245902,copy-paste
0.094262295,0.135245902,copy-paste
0.094262295,0.143442623,copy-paste
0.094262295,0.155737705,copy-paste
0.094262295,0.159836066,copy-paste
0.098360656,0.159836066,copy-paste
0.098360656,0.176229508,copy-paste
0.098360656,0.192622951,copy-paste
0.102459016,0.196721311,copy-paste
0.102459016,0.200819672,copy-paste
0.106557377,0.200819672,copy-paste
0.106557377,0.213114754,copy-paste
0.118852459,0.213114754,copy-paste
0.12295082,0.213114754,copy-paste
0.12295082,0.217213115,copy-paste
0.131147541,0.229508197,copy-paste
0.135245902,0.229508197,copy-paste
0.135245902,0.237704918,copy-paste
0.143442623,0.237704918,copy-paste
0.147540984,0.237704918,copy-paste
0.151639344,0.241803279,copy-paste
0.155737705,0.241803279,copy-paste
0.155737705,0.245901639,copy-paste
0.159836066,0.245901639,copy-paste
0.163934426,0.25,copy-paste
